can_timestamp,ros_timestamp,latency,jitter
1755180781.832416,1755180781.832514,9.799003601074219e-05,
1755180781.840773,1755180781.8409755,0.00020241737365722656,0.00010442733764648438
1755180781.849472,1755180781.8496804,0.00020837783813476562,5.9604644775390625e-06
1755180781.857852,1755180781.8579693,0.00011730194091796875,9.107589721679688e-05
1755180781.86653,1755180781.8666773,0.00014734268188476562,3.0040740966796875e-05
1755180781.874946,1755180781.8750515,0.00010538101196289062,4.1961669921875e-05
1755180781.883521,1755180781.8836255,0.00010442733764648438,9.5367431640625e-07
1755180781.89188,1755180781.891979,9.894371032714844e-05,5.4836273193359375e-06
1755180781.900616,1755180781.9007208,0.0001049041748046875,5.9604644775390625e-06
1755180781.908961,1755180781.9090683,0.00010728836059570312,2.384185791015625e-06
1755180781.917569,1755180781.9176652,9.632110595703125e-05,1.0967254638671875e-05
1755180781.925843,1755180781.9259362,9.322166442871094e-05,3.0994415283203125e-06
1755180781.934641,1755180781.934914,0.0002732276916503906,0.0001800060272216797
1755180781.942875,1755180781.9430556,0.00018072128295898438,9.250640869140625e-05
1755180781.951664,1755180781.9517877,0.00012373924255371094,5.698204040527344e-05
1755180781.959915,1755180781.9600148,9.989738464355469e-05,2.384185791015625e-05
1755180781.968706,1755180781.968914,0.00020813941955566406,0.00010824203491210938
1755180781.977012,1755180781.9771097,9.775161743164062e-05,0.00011038780212402344
1755180781.985739,1755180781.9858372,9.822845458984375e-05,4.76837158203125e-07
1755180781.993952,1755180781.994048,9.608268737792969e-05,2.1457672119140625e-06
1755180782.002735,1755180782.0028267,9.179115295410156e-05,4.291534423828125e-06
1755180782.011054,1755180782.0111403,8.630752563476562e-05,5.4836273193359375e-06
1755180782.019831,1755180782.019925,9.417533874511719e-05,7.867813110351562e-06
1755180782.028011,1755180782.0281167,0.00010561943054199219,1.1444091796875e-05
1755180782.036838,1755180782.0370142,0.0001761913299560547,7.05718994140625e-05
1755180782.045083,1755180782.0452526,0.00016951560974121094,6.67572021484375e-06
1755180782.053832,1755180782.0540109,0.00017881393432617188,9.298324584960938e-06
1755180782.062153,1755180782.0622532,0.00010013580322265625,7.867813110351562e-05
