BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs,timestamp
15.6MB / 41kB,0.00%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:36.376744
15.6MB / 41kB,0.00%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:36.376771
15.6MB / 41kB,0.00%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:36.876105
15.6MB / 41kB,0.00%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:36.876135
15.6MB / 41kB,12.50%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:37.376230
15.6MB / 41kB,12.50%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:37.376250
15.6MB / 41kB,12.50%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:37.876654
15.6MB / 41kB,12.50%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:37.876672
15.6MB / 41kB,13.80%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:38.376373
15.6MB / 41kB,13.80%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:38.376415
15.6MB / 41kB,13.80%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:38.876820
15.6MB / 41kB,13.80%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:38.876849
15.6MB / 41kB,19.80%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:39.376601
15.6MB / 41kB,19.80%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:39.376623
15.6MB / 41kB,19.80%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:39.876236
15.6MB / 41kB,19.80%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:39.876265
15.6MB / 41kB,17.16%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:40.376672
15.6MB / 41kB,17.16%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:40.376694
15.6MB / 41kB,17.16%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:40.876114
15.6MB / 41kB,17.16%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:40.876149
15.6MB / 41kB,19.52%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:41.376431
15.6MB / 41kB,19.52%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:41.376454
15.6MB / 41kB,19.52%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:41.876663
15.6MB / 41kB,19.52%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:41.876689
15.6MB / 41kB,15.03%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:42.376311
15.6MB / 41kB,15.03%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:42.376337
15.6MB / 41kB,15.03%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:42.876601
15.6MB / 41kB,15.03%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:42.876623
15.6MB / 41kB,13.05%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:43.376457
15.6MB / 41kB,13.05%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:43.376478
15.6MB / 41kB,13.05%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:43.876706
15.6MB / 41kB,13.05%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:43.876743
15.6MB / 41kB,18.73%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:44.376629
15.6MB / 41kB,18.73%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:44.376658
15.6MB / 41kB,18.73%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:44.876122
15.6MB / 41kB,18.73%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:44.876156
15.6MB / 41kB,18.09%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:45.376574
15.6MB / 41kB,18.09%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:45.376595
15.6MB / 41kB,18.09%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:45.876724
15.6MB / 41kB,18.09%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:45.876769
15.6MB / 41kB,14.58%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:46.376727
15.6MB / 41kB,14.58%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:46.376756
15.6MB / 41kB,14.58%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:46.876163
15.6MB / 41kB,14.58%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:46.876184
15.6MB / 41kB,16.94%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:47.376456
15.6MB / 41kB,16.94%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:47.376477
15.6MB / 41kB,16.94%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:47.876211
15.6MB / 41kB,16.94%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:47.876242
15.6MB / 41kB,15.98%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:48.376351
15.6MB / 41kB,15.98%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:48.376389
15.6MB / 41kB,15.98%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:48.876673
15.6MB / 41kB,15.98%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:48.876704
15.6MB / 41kB,15.32%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:49.376588
15.6MB / 41kB,15.32%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:49.376610
15.6MB / 41kB,15.32%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:49.876414
15.6MB / 41kB,15.32%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:49.876436
15.6MB / 41kB,15.45%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:50.376273
15.6MB / 41kB,15.45%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:50.376313
15.6MB / 41kB,15.45%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:50.876620
15.6MB / 41kB,15.45%,51b4b33acc75,51b4b33acc75,1.50%,236.9MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:24:50.876641
