BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs,timestamp
0B / 12.3kB,0.00%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:19.878554
0B / 12.3kB,0.00%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:19.878582
0B / 12.3kB,1.47%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:20.378569
0B / 12.3kB,1.47%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:20.378588
0B / 12.3kB,1.47%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:20.878141
0B / 12.3kB,1.47%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:20.878159
0B / 12.3kB,1.47%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:21.378681
0B / 12.3kB,1.47%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:21.378700
0B / 12.3kB,1.39%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:21.878661
0B / 12.3kB,1.39%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:21.878681
0B / 12.3kB,1.39%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:22.378511
0B / 12.3kB,1.39%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:22.378529
0B / 12.3kB,1.39%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:22.878107
0B / 12.3kB,1.39%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:22.878125
0B / 12.3kB,1.39%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:23.378573
0B / 12.3kB,1.39%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:23.378595
0B / 12.3kB,1.37%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:23.878215
0B / 12.3kB,1.37%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:23.878233
0B / 12.3kB,1.37%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:24.378631
0B / 12.3kB,1.37%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:24.378648
0B / 12.3kB,1.35%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:24.878479
0B / 12.3kB,1.35%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:24.878505
0B / 12.3kB,1.35%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:25.378617
0B / 12.3kB,1.35%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:25.378648
0B / 12.3kB,1.34%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:25.878645
0B / 12.3kB,1.34%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:25.878669
0B / 12.3kB,1.34%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:26.378131
0B / 12.3kB,1.34%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:26.378149
0B / 12.3kB,1.45%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:26.878687
0B / 12.3kB,1.45%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:26.878706
0B / 12.3kB,1.45%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:27.378265
0B / 12.3kB,1.45%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:27.378288
0B / 12.3kB,1.39%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:27.878116
0B / 12.3kB,1.39%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:27.878141
0B / 12.3kB,1.39%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:28.378771
0B / 12.3kB,1.39%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:28.378788
0B / 12.3kB,1.36%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:28.878469
0B / 12.3kB,1.36%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:28.878489
0B / 12.3kB,1.36%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:29.378643
0B / 12.3kB,1.36%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:29.378668
0B / 12.3kB,1.99%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:29.878429
0B / 12.3kB,1.99%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:20:29.878454
