BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs,timestamp
15.6MB / 0B,0.00%,51b4b33acc75,51b4b33acc75,1.53%,242MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:23:20.541773
15.6MB / 0B,0.00%,51b4b33acc75,51b4b33acc75,1.53%,242MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:23:20.541799
15.6MB / 0B,0.00%,51b4b33acc75,51b4b33acc75,1.53%,242MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:23:21.041831
15.6MB / 0B,0.00%,51b4b33acc75,51b4b33acc75,1.53%,242MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:23:21.041853
15.6MB / 0B,3.48%,51b4b33acc75,51b4b33acc75,1.53%,242MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:23:21.541626
15.6MB / 0B,3.48%,51b4b33acc75,51b4b33acc75,1.53%,242MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:23:21.541645
15.6MB / 0B,3.48%,51b4b33acc75,51b4b33acc75,1.53%,242MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:23:22.041565
15.6MB / 0B,3.48%,51b4b33acc75,51b4b33acc75,1.53%,242MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:23:22.041582
15.6MB / 0B,5.12%,51b4b33acc75,51b4b33acc75,1.53%,242MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:23:22.541208
15.6MB / 0B,5.12%,51b4b33acc75,51b4b33acc75,1.53%,242MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:23:22.541233
15.6MB / 0B,5.12%,51b4b33acc75,51b4b33acc75,1.53%,242MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:23:23.041640
15.6MB / 0B,5.12%,51b4b33acc75,51b4b33acc75,1.53%,242MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:23:23.041659
15.6MB / 0B,4.12%,51b4b33acc75,51b4b33acc75,1.53%,242MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:23:23.541162
15.6MB / 0B,4.12%,51b4b33acc75,51b4b33acc75,1.53%,242MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:23:23.541180
15.6MB / 0B,4.12%,51b4b33acc75,51b4b33acc75,1.53%,242MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:23:24.041679
15.6MB / 0B,4.12%,51b4b33acc75,51b4b33acc75,1.53%,242MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:23:24.041710
15.6MB / 0B,3.64%,51b4b33acc75,51b4b33acc75,1.53%,242MiB / 15.41GiB,rover-ros-gateway,0B / 0B,84,2025-08-14T17:23:24.541285
