can_timestamp,ros_timestamp,can_rpm,ros_rpm,delay
1755680240.158528,1755680240.1588078,0.0,0.0,0.0002796649932861328
1755680240.35925,1755680240.3594885,0.0,0.0,0.0002384185791015625
1755680240.558463,1755680240.5587525,0.0,0.0,0.0002894401550292969
1755680240.759458,1755680240.7596931,0.0,0.0,0.00023508071899414062
1755680240.958588,1755680240.9588776,0.0,0.0,0.00028967857360839844
1755680241.159464,1755680241.159702,0.0,0.0,0.00023818016052246094
1755680241.358782,1755680241.3590765,0.0,0.0,0.0002944469451904297
1755680241.559449,1755680241.5596805,25.35378074645996,25.35378074645996,0.0002315044403076172
1755680241.75843,1755680241.7586966,24.46025848388672,24.46025848388672,0.0002665519714355469
1755680241.959455,1755680241.9595969,38.75939178466797,38.75939178466797,0.0001418590545654297
1755680242.158484,1755680242.158772,51.429466247558594,51.429466247558594,0.0002880096435546875
1755680242.359761,1755680242.3600943,59.97065353393555,59.97065353393555,0.0003333091735839844
1755680242.558497,1755680242.558784,68.3908462524414,68.3908462524414,0.00028705596923828125
1755680242.759633,1755680242.7599108,71.83702087402344,71.83702087402344,0.0002777576446533203
1755680242.958437,1755680242.9587252,70.03649139404297,70.03649139404297,0.00028824806213378906
1755680243.159813,1755680243.1600785,69.58330535888672,69.58330535888672,0.0002655982971191406
1755680243.358553,1755680243.3588457,68.98523712158203,68.98523712158203,0.00029277801513671875
1755680243.559842,1755680243.5600896,68.73640441894531,68.73640441894531,0.0002474784851074219
1755680243.758521,1755680243.7588089,81.28534698486328,81.28534698486328,0.00028777122497558594
1755680243.959949,1755680243.9602191,90.63909149169922,90.63909149169922,0.0002701282501220703
1755680244.158828,1755680244.1591213,133.65634155273438,133.65634155273438,0.0002932548522949219
1755680244.360031,1755680244.360312,133.88027954101562,133.88027954101562,0.0002810955047607422
1755680244.558744,1755680244.559036,144.2759552001953,144.2759552001953,0.00029206275939941406
1755680244.758951,1755680244.7592883,178.7567138671875,178.7567138671875,0.00033736228942871094
1755680244.958473,1755680244.9587605,186.0949249267578,186.0949249267578,0.0002875328063964844
1755680245.158972,1755680245.1593204,205.34762573242188,205.34762573242188,0.0003483295440673828
1755680245.35851,1755680245.3588014,219.7503204345703,219.7503204345703,0.0002913475036621094
1755680245.558528,1755680245.5588152,242.89280700683597,242.89280700683597,0.0002872943878173828
1755680245.758444,1755680245.7587016,270.8411865234375,270.8411865234375,0.0002574920654296875
1755680245.95854,1755680245.9588268,306.2618103027344,306.2618103027344,0.0002868175506591797
1755680246.158542,1755680246.1588175,367.3479309082031,367.3479309082031,0.00027561187744140625
1755680246.358499,1755680246.3587754,431.2134704589844,431.2134704589844,0.00027632713317871094
1755680246.55855,1755680246.558813,465.2372741699219,465.2372741699219,0.000263214111328125
1755680246.759038,1755680246.7593975,481.869384765625,481.869384765625,0.00035953521728515625
1755680246.958619,1755680246.9589038,477.6659240722656,477.6659240722656,0.0002846717834472656
1755680247.158948,1755680247.1592903,413.6626281738281,413.6626281738281,0.00034236907958984375
1755680247.358556,1755680247.3588216,344.1616516113281,344.1616516113281,0.0002655982971191406
1755680247.558712,1755680247.559007,284.779052734375,284.779052734375,0.0002949237823486328
1755680247.758586,1755680247.7588181,205.2991943359375,205.2991943359375,0.00023221969604492188
1755680247.958674,1755680247.958999,129.17730712890625,129.17730712890625,0.0003249645233154297
1755680248.158617,1755680248.1589084,112.8093490600586,112.8093490600586,0.0002913475036621094
1755680248.358742,1755680248.3590283,237.27264404296875,237.27264404296875,0.00028634071350097656
1755680248.55869,1755680248.558987,363.3509521484375,363.3509521484375,0.0002968311309814453
1755680248.758566,1755680248.7588203,366.2545166015625,366.2545166015625,0.0002543926239013672
1755680248.958691,1755680248.9589827,292.27294921875,292.27294921875,0.0002918243408203125
1755680249.15905,1755680249.15937,283.9472045898437,283.9472045898437,0.0003199577331542969
1755680249.358659,1755680249.358948,425.2589416503906,425.2589416503906,0.00028896331787109375
1755680249.559052,1755680249.5593848,358.69488525390625,358.69488525390625,0.00033283233642578125
1755680249.758694,1755680249.7589915,332.1919860839844,332.1919860839844,0.00029754638671875
1755680249.958728,1755680249.9590273,427.0311584472656,427.0311584472656,0.00029921531677246094
1755680250.159073,1755680250.1594007,337.3320007324219,337.3320007324219,0.0003275871276855469
1755680250.358727,1755680250.3590224,228.52528381347656,228.52528381347656,0.00029540061950683594
1755680250.558786,1755680250.5590794,161.7781982421875,161.7781982421875,0.00029349327087402344
1755680250.758718,1755680250.7590203,106.86456298828124,106.86456298828124,0.00030231475830078125
1755680250.958762,1755680250.9590561,57.57830810546875,57.57830810546875,0.0002942085266113281
1755680251.159015,1755680251.1593459,26.22616195678711,26.22616195678711,0.00033092498779296875
1755680251.358727,1755680251.3590596,0.0,0.0,0.0003325939178466797
1755680251.55904,1755680251.5593684,0.0,0.0,0.00032830238342285156
1755680251.758706,1755680251.7589555,0.0,0.0,0.0002493858337402344
1755680251.95903,1755680251.9593701,0.0,0.0,0.0003402233123779297
1755680252.161247,1755680252.161473,0.0,0.0,0.00022602081298828125
1755680252.363435,1755680252.3636615,0.0,0.0,0.00022649765014648438
1755680252.559004,1755680252.559328,0.0,0.0,0.00032401084899902344
1755680252.758792,1755680252.7590857,28.287851333618164,28.287851333618164,0.000293731689453125
1755680252.959096,1755680252.959388,54.51807022094727,54.51807022094727,0.00029206275939941406
1755680253.158948,1755680253.1592698,51.01738739013672,51.01738739013672,0.0003218650817871094
1755680253.358758,1755680253.3589864,56.12360763549805,56.12360763549805,0.00022840499877929688
