timestamp,interval,data,direction,jitter
1755183506.970153,0.010138988494873047,00DC050000,T,
1755183506.980013,0.009859800338745117,00DC050000,T,0.0002791881561279297
1755183506.990004,0.009991168975830078,00DC050000,T,0.00013136863708496094
1755183507.000057,0.010052919387817383,00DC050000,T,6.175041198730469e-05
1755183507.009932,0.009875059127807617,00DC050000,T,0.00017786026000976562
1755183507.020068,0.010135889053344727,00DC050000,T,0.0002608299255371094
1755183507.029811,0.009742975234985352,00DC050000,T,0.000392913818359375
1755183507.040065,0.010254144668579102,00DC050000,T,0.00051116943359375
1755183507.049929,0.009863853454589844,00DC050000,T,0.0003902912139892578
1755183507.060066,0.010137081146240234,00DC050000,T,0.0002732276916503906
1755183507.07004,0.009974002838134766,00DC050000,T,0.00016307830810546875
1755183507.080937,0.010896921157836914,00DC050000,T,0.0009229183197021484
1755183507.089918,0.008980989456176758,00DC050000,T,0.0019159317016601562
1755183507.099939,0.010021209716796875,00DC050000,T,0.0010402202606201172
1755183507.110045,0.01010584831237793,00DC050000,T,8.463859558105469e-05
1755183507.119938,0.009892940521240234,00DC050000,T,0.0002129077911376953
1755183507.12995,0.010012149810791016,00DC050000,T,0.00011920928955078125
1755183507.139961,0.010010957717895508,00DC050000,T,1.1920928955078125e-06
1755183507.149999,0.010037899017333984,00DC050000,T,2.6941299438476562e-05
1755183507.159956,0.009957075119018555,00DC050000,T,8.082389831542969e-05
1755183507.169835,0.009879112243652344,00DC050000,T,7.796287536621094e-05
1755183507.179795,0.009959936141967773,00DC050000,T,8.082389831542969e-05
1755183507.189807,0.010011911392211914,00DC050000,T,5.1975250244140625e-05
1755183507.199869,0.010061979293823242,00DC050000,T,5.0067901611328125e-05
1755183507.209844,0.009975194931030273,00DC050000,T,8.678436279296875e-05
1755183507.220018,0.010173797607421875,00DC050000,T,0.00019860267639160156
1755183507.229855,0.009837150573730469,00DC050000,T,0.00033664703369140625
1755183507.239947,0.010092020034790039,00DC050000,T,0.0002548694610595703
1755183507.249908,0.00996088981628418,00DC050000,T,0.00013113021850585938
1755183507.25988,0.009972095489501953,00DC050000,T,1.1205673217773438e-05
1755183507.269839,0.009958982467651367,00DC050000,T,1.3113021850585938e-05
1755183507.279851,0.010011911392211914,00DC050000,T,5.2928924560546875e-05
1755183507.289946,0.01009511947631836,00DC050000,T,8.320808410644531e-05
1755183507.299998,0.010051965713500977,00DC050000,T,4.315376281738281e-05
