BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs,timestamp
5.34MB / 81.9kB,0.00%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:03.545694
5.34MB / 81.9kB,0.00%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:03.545726
5.34MB / 81.9kB,0.00%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:04.045202
5.34MB / 81.9kB,0.00%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:04.045219
5.34MB / 81.9kB,7.04%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:04.545253
5.34MB / 81.9kB,7.04%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:04.545267
5.34MB / 81.9kB,7.04%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:05.044974
5.34MB / 81.9kB,7.04%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:05.044991
5.34MB / 81.9kB,6.36%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:05.544941
5.34MB / 81.9kB,6.36%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:05.544969
5.34MB / 81.9kB,6.36%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:06.045749
5.34MB / 81.9kB,6.36%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:06.045765
5.34MB / 81.9kB,7.19%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:06.545210
5.34MB / 81.9kB,7.19%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:06.545225
5.34MB / 81.9kB,7.19%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:07.045914
5.34MB / 81.9kB,7.19%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:07.045930
5.34MB / 81.9kB,7.39%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:07.544939
5.34MB / 81.9kB,7.39%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:07.544975
5.34MB / 81.9kB,7.39%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:08.045715
5.34MB / 81.9kB,7.39%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:08.045732
5.34MB / 81.9kB,7.32%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:08.545272
5.34MB / 81.9kB,7.32%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:08.545291
5.34MB / 81.9kB,7.32%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:09.044915
5.34MB / 81.9kB,7.32%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:09.044933
5.34MB / 81.9kB,7.43%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:09.545726
5.34MB / 81.9kB,7.43%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:09.545744
5.34MB / 81.9kB,7.43%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:10.045418
5.34MB / 81.9kB,7.43%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:10.045434
5.34MB / 81.9kB,7.39%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:10.545204
5.34MB / 81.9kB,7.39%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:10.545223
5.34MB / 81.9kB,7.39%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:11.045032
5.34MB / 81.9kB,7.39%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:11.045047
5.34MB / 81.9kB,7.11%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:11.545266
5.34MB / 81.9kB,7.11%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:11.545283
5.34MB / 81.9kB,7.11%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:12.045009
5.34MB / 81.9kB,7.11%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:12.045024
5.34MB / 81.9kB,7.39%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:12.545989
5.34MB / 81.9kB,7.39%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:12.546002
5.34MB / 81.9kB,7.39%,112e41211bf2,112e41211bf2,2.86%,451.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-27T14:03:13.045818
